Slot,Keywords,Characters,Strategy,Notes
1,"",0,"Primary topic + audience","Describe what the book IS and WHO it's for"
2,"",0,"Secondary topic + crossover","Capture adjacent audiences"
3,"",0,"Reader outcomes + emotions","What will they FEEL or GAIN?"
4,"",0,"Specific use case or format","When/how will they read it?"
5,"",0,"Comparable works/authors","Fans of [X] will like this"
6,"",0,"Problem/solution angle","What problem does it solve?"
7,"",0,"Category cementing","Reinforce target category placement"
,,,,"--- INSTRUCTIONS ---"
,,,,"1. Fill in Keywords column with phrases (not single words)"
,,,,"2. Keep each slot under 50 characters"
,,,,"3. Do NOT repeat words from your title/subtitle"
,,,,"4. Do NOT use competitor names or bestseller claims"
,,,,"5. Use the Strategy column to guide your approach"
,,,,"--- VALIDATION CHECKLIST ---"
,,,,"[ ] All 7 slots filled"
,,,,"[ ] Each slot ≤50 characters"
,,,,"[ ] No title words repeated"
,,,,"[ ] Mix of specific + broad"
,,,,"[ ] At least one outcome-focused slot"
,,,,"[ ] At least one comp/fan slot"
